rank,score,source_path,source_dir,source_name,face_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_width,crop_height,size_bucket,image_width,image_height,crop_path
11,0.18906058371067047,data/luxty_escort/group_146/g146_p2_photo_437@04-05-2026_21-41-07.jpg,data/luxty_escort/group_146,g146_p2_photo_437@04-05-2026_21-41-07.jpg,0,188,246,287,372,99,126,at_least_48,570,1144,face_scores/crops/data__luxty_escort__group_146__g146_p2_photo_437@04-05-2026_21-41-07__face_00__score_0.1891.jpg
12,0.23676243424415588,data/luxty_escort/group_084/g084_p3_photo_252@04-05-2026_21-38-32.jpg,data/luxty_escort/group_084,g084_p3_photo_252@04-05-2026_21-38-32.jpg,0,259,142,374,331,115,189,at_least_48,819,1275,face_scores/crops/data__luxty_escort__group_084__g084_p3_photo_252@04-05-2026_21-38-32__face_00__score_0.2368.jpg
13,0.24438266456127167,data/luxty_escort/group_206/g206_p2_photo_617@04-05-2026_21-43-11.jpg,data/luxty_escort/group_206,g206_p2_photo_617@04-05-2026_21-43-11.jpg,0,462,40,550,132,88,92,at_least_48,942,1280,face_scores/crops/data__luxty_escort__group_206__g206_p2_photo_617@04-05-2026_21-43-11__face_00__score_0.2444.jpg
14,0.2638823390007019,data/luxty_escort/group_042/g042_p2_photo_125@04-05-2026_21-36-46.jpg,data/luxty_escort/group_042,g042_p2_photo_125@04-05-2026_21-36-46.jpg,0,236,273,430,484,194,211,at_least_48,739,1180,face_scores/crops/data__luxty_escort__group_042__g042_p2_photo_125@04-05-2026_21-36-46__face_00__score_0.2639.jpg
15,0.2674258053302765,data/akykla/masha/370972.jpg,data/akykla/masha,370972.jpg,0,272,84,383,210,111,126,at_least_48,571,800,face_scores/crops/data__akykla__masha__370972__face_00__score_0.2674.jpg
16,0.2761055529117584,data/luxty_escort/group_118/g118_p3_photo_354@04-05-2026_21-39-57.jpg,data/luxty_escort/group_118,g118_p3_photo_354@04-05-2026_21-39-57.jpg,0,351,135,453,291,102,156,at_least_48,739,914,face_scores/crops/data__luxty_escort__group_118__g118_p3_photo_354@04-05-2026_21-39-57__face_00__score_0.2761.jpg
17,0.28257426619529724,data/inter-escort/37/3l3x2l1fm4cyzqaulu3t9h6tkfeezx32.jpg,data/inter-escort/37,3l3x2l1fm4cyzqaulu3t9h6tkfeezx32.jpg,0,82,794,976,1509,894,715,at_least_48,1242,1509,face_scores/crops/data__inter-escort__37__3l3x2l1fm4cyzqaulu3t9h6tkfeezx32__face_00__score_0.2826.jpg
18,0.2850963771343231,data/luxty_escort/groups_065_185/g065_p3_photo_195@04-05-2026_21-36-47.jpg,data/luxty_escort/groups_065_185,g065_p3_photo_195@04-05-2026_21-36-47.jpg,0,217,0,337,91,120,91,at_least_48,1280,852,face_scores/crops/data__luxty_escort__groups_065_185__g065_p3_photo_195@04-05-2026_21-36-47__face_00__score_0.2851.jpg
19,0.29244351387023926,data/inter-escort/73/sxkcire4bqjvyn6efxspfm64duik17mm.jpg,data/inter-escort/73,sxkcire4bqjvyn6efxspfm64duik17mm.jpg,0,263,580,495,929,232,349,at_least_48,1066,1600,face_scores/crops/data__inter-escort__73__sxkcire4bqjvyn6efxspfm64duik17mm__face_00__score_0.2924.jpg
20,0.302196204662323,data/luxty_escort/group_020/g020_p3_photo_60@04-05-2026_21-34-47.jpg,data/luxty_escort/group_020,g020_p3_photo_60@04-05-2026_21-34-47.jpg,0,598,543,707,652,109,109,at_least_48,950,1280,face_scores/crops/data__luxty_escort__group_020__g020_p3_photo_60@04-05-2026_21-34-47__face_00__score_0.3022.jpg
21,0.31352749466896057,data/luxty_escort/group_056/g056_p3_photo_168@04-05-2026_21-36-47.jpg,data/luxty_escort/group_056,g056_p3_photo_168@04-05-2026_21-36-47.jpg,0,428,0,854,395,426,395,at_least_48,854,1274,face_scores/crops/data__luxty_escort__group_056__g056_p3_photo_168@04-05-2026_21-36-47__face_00__score_0.3135.jpg
22,0.31784772872924805,data/akykla/aleksa/760559.jpg,data/akykla/aleksa,760559.jpg,0,133,100,402,358,269,258,at_least_48,800,533,face_scores/crops/data__akykla__aleksa__760559__face_00__score_0.3178.jpg
23,0.3254626989364624,data/akykla/anna/863564.jpg,data/akykla/anna,863564.jpg,0,146,92,1092,1086,946,994,at_least_48,1125,1393,face_scores/crops/data__akykla__anna__863564__face_00__score_0.3255.jpg
24,0.3270012438297272,data/luxty_escort/group_206/g206_p1_photo_616@04-05-2026_21-43-11.jpg,data/luxty_escort/group_206,g206_p1_photo_616@04-05-2026_21-43-11.jpg,0,519,65,646,211,127,146,at_least_48,912,1280,face_scores/crops/data__luxty_escort__group_206__g206_p1_photo_616@04-05-2026_21-43-11__face_00__score_0.3270.jpg
25,0.34123098850250244,data/luxty_escort/group_029/g029_p2_photo_86@04-05-2026_21-34-48.jpg,data/luxty_escort/group_029,g029_p2_photo_86@04-05-2026_21-34-48.jpg,0,289,368,382,508,93,140,at_least_48,686,1113,face_scores/crops/data__luxty_escort__group_029__g029_p2_photo_86@04-05-2026_21-34-48__face_00__score_0.3412.jpg
26,0.34224632382392883,data/akykla/aleksa/351715.jpg,data/akykla/aleksa,351715.jpg,0,168,0,524,364,356,364,at_least_48,800,533,face_scores/crops/data__akykla__aleksa__351715__face_00__score_0.3422.jpg
27,0.3438362777233124,data/luxty_escort/group_053/g053_p2_photo_158@04-05-2026_21-36-47.jpg,data/luxty_escort/group_053,g053_p2_photo_158@04-05-2026_21-36-47.jpg,0,118,565,398,816,280,251,at_least_48,683,1024,face_scores/crops/data__luxty_escort__group_053__g053_p2_photo_158@04-05-2026_21-36-47__face_00__score_0.3438.jpg
28,0.35446876287460327,data/akykla/lana/183075.jpg,data/akykla/lana,183075.jpg,0,508,88,558,163,50,75,at_least_48,800,533,face_scores/crops/data__akykla__lana__183075__face_00__score_0.3545.jpg
29,0.3571220636367798,data/luxty_escort/group_204/g204_p3_photo_612@04-05-2026_21-43-11.jpg,data/luxty_escort/group_204,g204_p3_photo_612@04-05-2026_21-43-11.jpg,0,570,525,643,642,73,117,at_least_48,725,1280,face_scores/crops/data__luxty_escort__group_204__g204_p3_photo_612@04-05-2026_21-43-11__face_00__score_0.3571.jpg
30,0.36537760496139526,data/inter-escort/71/il374lumobv4rrr4hf1w0vivt5frjq14.jpg,data/inter-escort/71,il374lumobv4rrr4hf1w0vivt5frjq14.jpg,0,258,192,882,832,624,640,at_least_48,1026,1280,face_scores/crops/data__inter-escort__71__il374lumobv4rrr4hf1w0vivt5frjq14__face_00__score_0.3654.jpg
31,0.36549702286720276,data/luxty_escort/group_099/g099_p3_photo_297@04-05-2026_21-38-32.jpg,data/luxty_escort/group_099,g099_p3_photo_297@04-05-2026_21-38-32.jpg,0,149,471,499,952,350,481,at_least_48,1020,1280,face_scores/crops/data__luxty_escort__group_099__g099_p3_photo_297@04-05-2026_21-38-32__face_00__score_0.3655.jpg
32,0.3705381155014038,data/luxty_escort/group_094/g094_p3_photo_282@04-05-2026_21-38-32.jpg,data/luxty_escort/group_094,g094_p3_photo_282@04-05-2026_21-38-32.jpg,0,387,181,565,508,178,327,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_094__g094_p3_photo_282@04-05-2026_21-38-32__face_00__score_0.3705.jpg
33,0.3900759220123291,data/luxty_escort/group_217/g217_p2_photo_650@04-05-2026_21-43-11.jpg,data/luxty_escort/group_217,g217_p2_photo_650@04-05-2026_21-43-11.jpg,0,877,290,947,377,70,87,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_217__g217_p2_photo_650@04-05-2026_21-43-11__face_00__score_0.3901.jpg
34,0.39801257848739624,data/luxty_escort/group_196/g196_p2_photo_587@04-05-2026_21-42-17.jpg,data/luxty_escort/group_196,g196_p2_photo_587@04-05-2026_21-42-17.jpg,0,571,640,796,917,225,277,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_196__g196_p2_photo_587@04-05-2026_21-42-17__face_00__score_0.3980.jpg
35,0.40809696912765503,data/akykla/nikol/906342.jpg,data/akykla/nikol,906342.jpg,0,0,130,293,397,293,267,at_least_48,800,534,face_scores/crops/data__akykla__nikol__906342__face_00__score_0.4081.jpg
36,0.4092969596385956,data/luxty_escort/group_073/g073_p1_photo_217@04-05-2026_21-38-31.jpg,data/luxty_escort/group_073,g073_p1_photo_217@04-05-2026_21-38-31.jpg,0,89,777,203,952,114,175,at_least_48,683,1024,face_scores/crops/data__luxty_escort__group_073__g073_p1_photo_217@04-05-2026_21-38-31__face_00__score_0.4093.jpg
37,0.4222070276737213,data/luxty_escort/groups_172_222/g172_p2_photo_515@04-05-2026_21-42-16.jpg,data/luxty_escort/groups_172_222,g172_p2_photo_515@04-05-2026_21-42-16.jpg,0,0,284,190,584,190,300,at_least_48,817,1280,face_scores/crops/data__luxty_escort__groups_172_222__g172_p2_photo_515@04-05-2026_21-42-16__face_00__score_0.4222.jpg
38,0.438876748085022,data/luxty_escort/group_045/g045_p2_photo_134@04-05-2026_21-36-46.jpg,data/luxty_escort/group_045,g045_p2_photo_134@04-05-2026_21-36-46.jpg,0,794,534,873,621,79,87,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_045__g045_p2_photo_134@04-05-2026_21-36-46__face_00__score_0.4389.jpg
39,0.446823388338089,data/luxty_escort/group_090/g090_p3_photo_270@04-05-2026_21-38-32.jpg,data/luxty_escort/group_090,g090_p3_photo_270@04-05-2026_21-38-32.jpg,0,0,620,468,1268,468,648,at_least_48,853,1280,face_scores/crops/data__luxty_escort__group_090__g090_p3_photo_270@04-05-2026_21-38-32__face_00__score_0.4468.jpg
40,0.4595531225204468,data/luxty_escort/group_019/g019_p3_photo_57@04-05-2026_21-34-47.jpg,data/luxty_escort/group_019,g019_p3_photo_57@04-05-2026_21-34-47.jpg,0,273,193,394,364,121,171,at_least_48,723,1098,face_scores/crops/data__luxty_escort__group_019__g019_p3_photo_57@04-05-2026_21-34-47__face_00__score_0.4596.jpg
41,0.48209428787231445,data/akykla/malena/609964.jpg,data/akykla/malena,609964.jpg,0,880,230,1252,600,372,370,at_least_48,1271,779,face_scores/crops/data__akykla__malena__609964__face_00__score_0.4821.jpg
42,0.49086034297943115,data/inter-escort/57/ko9lv3bdxwz14dsrsem60albf66e4qnd.jpg,data/inter-escort/57,ko9lv3bdxwz14dsrsem60albf66e4qnd.jpg,0,822,657,927,775,105,118,at_least_48,1066,1600,face_scores/crops/data__inter-escort__57__ko9lv3bdxwz14dsrsem60albf66e4qnd__face_00__score_0.4909.jpg
43,0.4948645532131195,data/luxty_escort/group_018/g018_p3_photo_54@04-05-2026_21-34-47.jpg,data/luxty_escort/group_018,g018_p3_photo_54@04-05-2026_21-34-47.jpg,0,132,135,377,414,245,279,at_least_48,640,960,face_scores/crops/data__luxty_escort__group_018__g018_p3_photo_54@04-05-2026_21-34-47__face_00__score_0.4949.jpg
44,0.5135525465011597,data/luxty_escort/group_177/g177_p2_photo_530@04-05-2026_21-42-16.jpg,data/luxty_escort/group_177,g177_p2_photo_530@04-05-2026_21-42-16.jpg,0,30,188,467,1073,437,885,at_least_48,853,1280,face_scores/crops/data__luxty_escort__group_177__g177_p2_photo_530@04-05-2026_21-42-16__face_00__score_0.5136.jpg
45,0.5231130719184875,data/luxty_escort/group_147/g147_p3_photo_441@04-05-2026_21-41-07.jpg,data/luxty_escort/group_147,g147_p3_photo_441@04-05-2026_21-41-07.jpg,0,496,0,960,389,464,389,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_147__g147_p3_photo_441@04-05-2026_21-41-07__face_00__score_0.5231.jpg
46,0.5258141756057739,data/luxty_escort/group_101/g101_p2_photo_302@04-05-2026_21-39-57.jpg,data/luxty_escort/group_101,g101_p2_photo_302@04-05-2026_21-39-57.jpg,0,368,435,537,610,169,175,at_least_48,852,1280,face_scores/crops/data__luxty_escort__group_101__g101_p2_photo_302@04-05-2026_21-39-57__face_00__score_0.5258.jpg
47,0.5269477963447571,data/akykla/alina/715989.jpg,data/akykla/alina,715989.jpg,0,187,119,454,421,267,302,at_least_48,1080,1080,face_scores/crops/data__akykla__alina__715989__face_00__score_0.5269.jpg
48,0.5583885312080383,data/luxty_escort/group_130/g130_p3_photo_390@04-05-2026_21-39-58.jpg,data/luxty_escort/group_130,g130_p3_photo_390@04-05-2026_21-39-58.jpg,0,528,303,727,587,199,284,at_least_48,1024,1280,face_scores/crops/data__luxty_escort__group_130__g130_p3_photo_390@04-05-2026_21-39-58__face_00__score_0.5584.jpg
49,0.5589867830276489,data/luxty_escort/group_228/g228_p3_photo_684@04-05-2026_21-43-12.jpg,data/luxty_escort/group_228,g228_p3_photo_684@04-05-2026_21-43-12.jpg,0,0,703,82,817,82,114,at_least_48,852,1280,face_scores/crops/data__luxty_escort__group_228__g228_p3_photo_684@04-05-2026_21-43-12__face_00__score_0.5590.jpg
50,0.5664270520210266,data/luxty_escort/group_047/g047_p3_photo_141@04-05-2026_21-36-46.jpg,data/luxty_escort/group_047,g047_p3_photo_141@04-05-2026_21-36-46.jpg,0,374,185,621,517,247,332,at_least_48,880,1280,face_scores/crops/data__luxty_escort__group_047__g047_p3_photo_141@04-05-2026_21-36-46__face_00__score_0.5664.jpg
51,0.5854724645614624,data/luxty_escort/group_038/g038_p3_photo_114@04-05-2026_21-36-46.jpg,data/luxty_escort/group_038,g038_p3_photo_114@04-05-2026_21-36-46.jpg,0,438,0,693,252,255,252,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_038__g038_p3_photo_114@04-05-2026_21-36-46__face_00__score_0.5855.jpg
52,0.586147129535675,data/luxty_escort/groups_065_185/g185_p2_photo_554@04-05-2026_21-42-17.jpg,data/luxty_escort/groups_065_185,g185_p2_photo_554@04-05-2026_21-42-17.jpg,0,326,0,714,347,388,347,at_least_48,821,1280,face_scores/crops/data__luxty_escort__groups_065_185__g185_p2_photo_554@04-05-2026_21-42-17__face_00__score_0.5861.jpg
53,0.6012831926345825,data/akykla/leona/198211.jpg,data/akykla/leona,198211.jpg,0,277,48,343,144,66,96,at_least_48,546,800,face_scores/crops/data__akykla__leona__198211__face_00__score_0.6013.jpg
54,0.6052760481834412,data/luxty_escort/group_067/g067_p3_photo_201@04-05-2026_21-38-31.jpg,data/luxty_escort/group_067,g067_p3_photo_201@04-05-2026_21-38-31.jpg,0,200,759,303,881,103,122,at_least_48,1003,1266,face_scores/crops/data__luxty_escort__group_067__g067_p3_photo_201@04-05-2026_21-38-31__face_00__score_0.6053.jpg
55,0.6067434549331665,data/luxty_escort/group_146/g146_p1_photo_436@04-05-2026_21-41-07.jpg,data/luxty_escort/group_146,g146_p1_photo_436@04-05-2026_21-41-07.jpg,0,306,108,470,282,164,174,at_least_48,792,1280,face_scores/crops/data__luxty_escort__group_146__g146_p1_photo_436@04-05-2026_21-41-07__face_00__score_0.6067.jpg
56,0.6112053990364075,data/luxty_escort/group_017/g017_p2_photo_50@04-05-2026_21-34-47.jpg,data/luxty_escort/group_017,g017_p2_photo_50@04-05-2026_21-34-47.jpg,0,417,241,615,627,198,386,at_least_48,960,1280,face_scores/crops/data__luxty_escort__group_017__g017_p2_photo_50@04-05-2026_21-34-47__face_00__score_0.6112.jpg
57,0.6228908896446228,data/luxty_escort/group_100/g100_p2_photo_299@04-05-2026_21-39-56.jpg,data/luxty_escort/group_100,g100_p2_photo_299@04-05-2026_21-39-56.jpg,0,443,229,665,451,222,222,at_least_48,1039,1280,face_scores/crops/data__luxty_escort__group_100__g100_p2_photo_299@04-05-2026_21-39-56__face_00__score_0.6229.jpg
58,0.6402547955513,data/akykla/viktoriya3/998810.jpg,data/akykla/viktoriya3,998810.jpg,0,166,276,224,375,58,99,at_least_48,533,800,face_scores/crops/data__akykla__viktoriya3__998810__face_00__score_0.6403.jpg
59,0.6447433233261108,data/luxty_escort/groups_065_185/g065_p2_photo_194@04-05-2026_21-36-47.jpg,data/luxty_escort/groups_065_185,g065_p2_photo_194@04-05-2026_21-36-47.jpg,0,171,0,632,404,461,404,at_least_48,702,1274,face_scores/crops/data__luxty_escort__groups_065_185__g065_p2_photo_194@04-05-2026_21-36-47__face_00__score_0.6447.jpg
60,0.6470431685447693,data/luxty_escort/group_021/g021_p3_photo_63@04-05-2026_21-34-47.jpg,data/luxty_escort/group_021,g021_p3_photo_63@04-05-2026_21-34-47.jpg,0,233,641,488,951,255,310,at_least_48,799,1177,face_scores/crops/data__luxty_escort__group_021__g021_p3_photo_63@04-05-2026_21-34-47__face_00__score_0.6470.jpg
61,0.6542863845825195,data/luxty_escort/group_190/g190_p2_photo_569@04-05-2026_21-42-17.jpg,data/luxty_escort/group_190,g190_p2_photo_569@04-05-2026_21-42-17.jpg,0,378,160,650,431,272,271,at_least_48,828,552,face_scores/crops/data__luxty_escort__group_190__g190_p2_photo_569@04-05-2026_21-42-17__face_00__score_0.6543.jpg
62,0.68401700258255,data/luxty_escort/group_029/g029_p3_photo_87@04-05-2026_21-34-48.jpg,data/luxty_escort/group_029,g029_p3_photo_87@04-05-2026_21-34-48.jpg,0,391,262,475,412,84,150,at_least_48,742,1193,face_scores/crops/data__luxty_escort__group_029__g029_p3_photo_87@04-05-2026_21-34-48__face_00__score_0.6840.jpg
63,0.6987271308898926,data/luxty_escort/groups_124_175/g124_p3_photo_372@04-05-2026_21-39-58.jpg,data/luxty_escort/groups_124_175,g124_p3_photo_372@04-05-2026_21-39-58.jpg,0,230,411,505,838,275,427,at_least_48,894,1280,face_scores/crops/data__luxty_escort__groups_124_175__g124_p3_photo_372@04-05-2026_21-39-58__face_00__score_0.6987.jpg
64,0.712308406829834,data/luxty_escort/group_061/g061_p3_photo_183@04-05-2026_21-36-47.jpg,data/luxty_escort/group_061,g061_p3_photo_183@04-05-2026_21-36-47.jpg,0,395,118,506,239,111,121,at_least_48,749,1207,face_scores/crops/data__luxty_escort__group_061__g061_p3_photo_183@04-05-2026_21-36-47__face_00__score_0.7123.jpg
65,0.7126290202140808,data/akykla/mila/594269.jpg,data/akykla/mila,594269.jpg,0,177,103,261,207,84,104,at_least_48,533,800,face_scores/crops/data__akykla__mila__594269__face_00__score_0.7126.jpg
66,0.7129224538803101,data/luxty_escort/group_177/g177_p3_photo_531@04-05-2026_21-42-16.jpg,data/luxty_escort/group_177,g177_p3_photo_531@04-05-2026_21-42-16.jpg,0,238,356,344,495,106,139,at_least_48,733,1169,face_scores/crops/data__luxty_escort__group_177__g177_p3_photo_531@04-05-2026_21-42-16__face_00__score_0.7129.jpg
67,0.7205044627189636,data/luxty_escort/groups_065_185/g185_p1_photo_553@04-05-2026_21-42-17.jpg,data/luxty_escort/groups_065_185,g185_p1_photo_553@04-05-2026_21-42-17.jpg,0,563,0,724,150,161,150,at_least_48,854,1280,face_scores/crops/data__luxty_escort__groups_065_185__g185_p1_photo_553@04-05-2026_21-42-17__face_00__score_0.7205.jpg
68,0.7333479523658752,data/luxty_escort/group_113/g113_p3_photo_339@04-05-2026_21-39-57.jpg,data/luxty_escort/group_113,g113_p3_photo_339@04-05-2026_21-39-57.jpg,0,318,79,539,427,221,348,at_least_48,900,1125,face_scores/crops/data__luxty_escort__group_113__g113_p3_photo_339@04-05-2026_21-39-57__face_00__score_0.7333.jpg
69,0.738099992275238,data/luxty_escort/group_089/g089_p2_photo_266@04-05-2026_21-38-32.jpg,data/luxty_escort/group_089,g089_p2_photo_266@04-05-2026_21-38-32.jpg,0,157,142,337,432,180,290,at_least_48,619,1133,face_scores/crops/data__luxty_escort__group_089__g089_p2_photo_266@04-05-2026_21-38-32__face_00__score_0.7381.jpg
70,0.7389447689056396,data/akykla/alina3/222656.jpg,data/akykla/alina3,222656.jpg,0,197,104,291,273,94,169,at_least_48,533,800,face_scores/crops/data__akykla__alina3__222656__face_00__score_0.7389.jpg
71,0.7395145893096924,data/inter-escort/32/bulbbyxydrjjjnp32b8348zacc6jui2v.jpg,data/inter-escort/32,bulbbyxydrjjjnp32b8348zacc6jui2v.jpg,0,674,311,825,471,151,160,at_least_48,1125,1343,face_scores/crops/data__inter-escort__32__bulbbyxydrjjjnp32b8348zacc6jui2v__face_00__score_0.7395.jpg
72,0.7418192028999329,data/akykla/aleksandra/395355.jpg,data/akykla/aleksandra,395355.jpg,0,215,78,329,219,114,141,at_least_48,533,800,face_scores/crops/data__akykla__aleksandra__395355__face_00__score_0.7418.jpg
73,0.7450109720230103,data/akykla/aleksa/339325.jpg,data/akykla/aleksa,339325.jpg,0,182,162,317,321,135,159,at_least_48,533,800,face_scores/crops/data__akykla__aleksa__339325__face_00__score_0.7450.jpg
74,0.7555044889450073,data/inter-escort/76/tmmyg4lloa2ti0zwt5f2ug43xv7rvg61.jpg,data/inter-escort/76,tmmyg4lloa2ti0zwt5f2ug43xv7rvg61.jpg,0,90,84,165,173,75,89,at_least_48,1286,1600,face_scores/crops/data__inter-escort__76__tmmyg4lloa2ti0zwt5f2ug43xv7rvg61__face_00__score_0.7555.jpg
75,0.759103000164032,data/luxty_escort/group_028/g028_p1_photo_82@04-05-2026_21-34-48.jpg,data/luxty_escort/group_028,g028_p1_photo_82@04-05-2026_21-34-48.jpg,0,267,165,552,593,285,428,at_least_48,816,1218,face_scores/crops/data__luxty_escort__group_028__g028_p1_photo_82@04-05-2026_21-34-48__face_00__score_0.7591.jpg
76,0.7619964480400085,data/inter-escort/9/r3m27tp513iqr0xel87w49r5ee3p1j8e.jpg,data/inter-escort/9,r3m27tp513iqr0xel87w49r5ee3p1j8e.jpg,0,403,213,1090,1040,687,827,at_least_48,1243,1237,face_scores/crops/data__inter-escort__9__r3m27tp513iqr0xel87w49r5ee3p1j8e__face_00__score_0.7620.jpg
77,0.7622339129447937,data/luxty_escort/groups_065_185/g065_p1_photo_193@04-05-2026_21-36-47.jpg,data/luxty_escort/groups_065_185,g065_p1_photo_193@04-05-2026_21-36-47.jpg,0,731,792,796,872,65,80,at_least_48,854,1280,face_scores/crops/data__luxty_escort__groups_065_185__g065_p1_photo_193@04-05-2026_21-36-47__face_00__score_0.7622.jpg
78,0.7674838304519653,data/inter-escort/73/v2iga0d60mq2lgexmhhfx552no0rsxl1.jpg,data/inter-escort/73,v2iga0d60mq2lgexmhhfx552no0rsxl1.jpg,0,735,386,893,600,158,214,at_least_48,1600,1600,face_scores/crops/data__inter-escort__73__v2iga0d60mq2lgexmhhfx552no0rsxl1__face_00__score_0.7675.jpg
79,0.7693876624107361,data/akykla/aleksandra1/561646.jpg,data/akykla/aleksandra1,561646.jpg,0,159,73,286,266,127,193,at_least_48,533,800,face_scores/crops/data__akykla__aleksandra1__561646__face_00__score_0.7694.jpg
80,0.769825279712677,data/luxty_escort/group_054/g054_p3_photo_162@04-05-2026_21-36-47.jpg,data/luxty_escort/group_054,g054_p3_photo_162@04-05-2026_21-36-47.jpg,0,568,871,905,1194,337,323,at_least_48,961,1280,face_scores/crops/data__luxty_escort__group_054__g054_p3_photo_162@04-05-2026_21-36-47__face_00__score_0.7698.jpg
81,0.7723714709281921,data/inter-escort/76/r01zrof82i2gips14udbfzfbylny2sw6.jpg,data/inter-escort/76,r01zrof82i2gips14udbfzfbylny2sw6.jpg,0,399,267,483,362,84,95,at_least_48,555,833,face_scores/crops/data__inter-escort__76__r01zrof82i2gips14udbfzfbylny2sw6__face_00__score_0.7724.jpg
82,0.7732495665550232,data/luxty_escort/group_067/g067_p2_photo_200@04-05-2026_21-38-31.jpg,data/luxty_escort/group_067,g067_p2_photo_200@04-05-2026_21-38-31.jpg,0,331,173,422,313,91,140,at_least_48,704,1272,face_scores/crops/data__luxty_escort__group_067__g067_p2_photo_200@04-05-2026_21-38-31__face_00__score_0.7732.jpg
83,0.7756336331367493,data/inter-escort/37/qb8edcjuock69og2vosmle0sqrhpl94j.jpg,data/inter-escort/37,qb8edcjuock69og2vosmle0sqrhpl94j.jpg,0,788,483,897,606,109,123,at_least_48,1242,910,face_scores/crops/data__inter-escort__37__qb8edcjuock69og2vosmle0sqrhpl94j__face_00__score_0.7756.jpg
